unique_code,last_balance_snapshot,last_transaction_date,userid
201165C112,8.06,22/11/2024,56250
2404828416,,13/11/2024,167635
2007980365,1317.83,18/11/2024,41836
19014BF327,,,
200828EC52,,,
21058F3317,,,
1909789814,,,
2308E7B824,,,
210476B151,,,
2309A20E59,,,
24070B7447,,,
21025BDD21,,,
2210192F48,,,
2401084783,,,
